 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +5.8500000000000000E+01	  +7.3367793018893181E+01	
  +5.8750000000000000E+01	  +7.2687805625534651E+01	
  +5.9000000000000000E+01	  +7.0307594234548574E+01	
  +5.9250000000000000E+01	  +7.0336318199842353E+01	
  +5.9500000000000000E+01	  +7.1667118204162151E+01	
  +5.9750000000000000E+01	  +7.1842887481452109E+01	
  +6.0000000000000000E+01	  +7.0804266804242872E+01	
  +6.0250000000000000E+01	  +6.9621202132889195E+01	
  +6.0500000000000000E+01	  +6.9485481063648308E+01	
  +6.0750000000000000E+01	  +6.9779623490785596E+01	
  +6.1000000000000000E+01	  +6.9520259816962536E+01	
  +6.1250000000000000E+01	  +6.7899248888507856E+01	
  +6.1500000000000000E+01	  +6.6989515558965152E+01	
  +6.1750000000000000E+01	  +6.6811358803897221E+01	
  +6.2000000000000000E+01	  +6.6133038853878190E+01	
  +6.2250000000000000E+01	  +6.5721583645624861E+01	
  +6.2500000000000000E+01	  +6.5875579448920050E+01	
  +6.2750000000000000E+01	  +6.5980945275044888E+01	
  +6.3000000000000000E+01	  +6.5664379068753149E+01	
  +6.3250000000000000E+01	  +6.5418725850974070E+01	
  +6.3500000000000000E+01	  +6.5972309186143093E+01	
  +6.3750000000000000E+01	  +6.6341158380263508E+01	
  +6.4000000000000000E+01	  +6.6814633253000380E+01	
  +6.4250000000000000E+01	  +6.7963408544078334E+01	
  +6.4500000000000000E+01	  +6.9399184012195036E+01	
  +6.4750000000000000E+01	  +6.9866583644399299E+01	
  +6.5000000000000000E+01	  +6.9536865736545948E+01	
  +6.5250000000000000E+01	  +6.9964115129122035E+01	
  +6.5500000000000000E+01	  +7.0167566364424147E+01	
  +6.5750000000000000E+01	  +6.9762822203693531E+01	
  +6.6000000000000000E+01	  +7.0160645013044643E+01	
  +6.6250000000000000E+01	  +7.0728920247841316E+01	
  +6.6500000000000000E+01	  +7.1032825613089130E+01	
  +6.6750000000000000E+01	  +7.1222928642076695E+01	
  +6.7000000000000000E+01	  +4.7052153178455207E+01	
  +6.7250000000000000E+01	  +2.2312888030292108E+01	
