 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +6.8250000000000000E+01	  +8.7969874958166585E+00	
  +6.8500000000000000E+01	  +7.7855711135426837E+00	
  +6.8750000000000000E+01	  +7.8067318002889268E+00	
  +6.9000000000000000E+01	  +7.9871900463625485E+00	
  +6.9250000000000000E+01	  +8.1748854812122111E+00	
  +6.9500000000000000E+01	  +8.2267598462986804E+00	
  +6.9750000000000000E+01	  +8.2865330306131924E+00	
  +7.0000000000000000E+01	  +7.8205228349695446E+00	
  +7.0250000000000000E+01	  +7.3511514804374620E+00	
  +7.0500000000000000E+01	  +7.4081941652414685E+00	
  +7.0750000000000000E+01	  +7.4660873548257447E+00	
  +7.1000000000000000E+01	  +7.6908705902535441E+00	
  +7.1250000000000000E+01	  +7.9195254909265040E+00	
  +7.1500000000000000E+01	  +7.9852610574512513E+00	
  +7.1750000000000000E+01	  +8.0231538529859687E+00	
  +7.2000000000000000E+01	  +8.1520025907708344E+00	
  +7.2250000000000000E+01	  +8.2513995988769651E+00	
  +7.2500000000000000E+01	  +8.2021710430827923E+00	
  +7.2750000000000000E+01	  +8.1666161893506963E+00	
  +7.3000000000000000E+01	  +8.3017482387032224E+00	
  +7.3250000000000000E+01	  +8.4528195068445573E+00	
  +7.3500000000000000E+01	  +8.4603377962769599E+00	
  +7.3750000000000000E+01	  +8.4651980163622085E+00	
  +7.4000000000000000E+01	  +8.6258725612855365E+00	
  +7.4250000000000000E+01	  +8.7854732443268979E+00	
  +7.4500000000000000E+01	  +8.7884559237027080E+00	
  +7.4750000000000000E+01	  +8.7799905289215339E+00	
  +7.5000000000000000E+01	  +8.8881976470546995E+00	
  +7.5250000000000000E+01	  +8.9863462633410318E+00	
  +7.5500000000000000E+01	  +8.9487839319121445E+00	
  +7.5750000000000000E+01	  +8.9208231684500969E+00	
  +7.6000000000000000E+01	  +9.0327535189816377E+00	
  +7.6250000000000000E+01	  +2.8000302583604014E+01	
  +7.6500000000000000E+01	  +4.7197756069118782E+01	
  +7.6750000000000000E+01	  +4.7565844616488555E+01	
  +7.7000000000000000E+01	  +4.6710219011145185E+01	
  +7.7250000000000000E+01	  +4.7111179974320251E+01	
  +7.7500000000000000E+01	  +4.8518734822746069E+01	
  +7.7750000000000000E+01	  +4.8645787447078007E+01	
  +7.8000000000000000E+01	  +4.7188413504852896E+01	
  +7.8250000000000000E+01	  +5.3926902159186646E+01	
  +7.8500000000000000E+01	  +6.2070155330022061E+01	
  +7.8750000000000000E+01	  +6.1960607072640094E+01	
  +7.9000000000000000E+01	  +6.0705935767067992E+01	
  +7.9250000000000000E+01	  +5.9465088069531021E+01	
  +7.9500000000000000E+01	  +5.9359053396381391E+01	
  +7.9750000000000000E+01	  +5.9116201440995823E+01	
  +8.0000000000000000E+01	  +5.7715919494410521E+01	
  +8.0250000000000000E+01	  +5.6200568885680063E+01	
  +8.0500000000000000E+01	  +5.5655495812250457E+01	
  +8.0750000000000000E+01	  +5.5116785473800803E+01	
  +8.1000000000000000E+01	  +5.4650400419906227E+01	
  +8.1250000000000000E+01	  +5.4001646079122935E+01	
  +8.1500000000000000E+01	  +5.3019037793683587E+01	
  +8.1750000000000000E+01	  +5.2276560841698917E+01	
  +8.2000000000000000E+01	  +5.1193322273002586E+01	
  +8.2250000000000000E+01	  +5.0360841609246933E+01	
  +8.2500000000000000E+01	  +5.0225006723558316E+01	
  +8.2750000000000000E+01	  +5.0039797489280438E+01	
  +8.3000000000000000E+01	  +4.9358914224850942E+01	
  +8.3250000000000000E+01	  +4.8903216851981028E+01	
  +8.3500000000000000E+01	  +4.9188940075079238E+01	
  +8.3750000000000000E+01	  +4.9119875006399155E+01	
  +8.4000000000000000E+01	  +4.8300940534553931E+01	
  +8.4250000000000000E+01	  +4.7476432543447444E+01	
  +8.4500000000000000E+01	  +4.7146703210670744E+01	
  +8.4750000000000000E+01	  +4.7003402006024572E+01	
  +8.5000000000000000E+01	  +4.6402602302008056E+01	
  +8.5250000000000000E+01	  +4.5648086268391630E+01	
  +8.5500000000000000E+01	  +4.5325031437281723E+01	
  +8.5750000000000000E+01	  +4.5127213437386409E+01	
  +8.6000000000000000E+01	  +4.4785358553609925E+01	
  +8.6250000000000000E+01	  +4.4600323757901663E+01	
  +8.6500000000000000E+01	  +4.4815118474298373E+01	
