  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\9_k
 altes_Nahwaermenetz\V1_2_5\III_kaltes_Nahwaermenetz.dck                       
                                                                               
                                                                   
 Initiated at time: 2025-01-11 AT  10:15:26
 TIME                                   ,Q_th_SW_WP                              ,Q_el_SW_WP                              ,
  +4.4750000000000000E+01,  +1.4594761672183083E+01,  +9.5483062121171258E-01,
  +4.5000000000000000E+01,  +1.5084668858613242E+01,  +9.8688173610225260E-01,
  +4.5250000000000000E+01,  +1.5601570178750492E+01,  +1.0206988836307727E+00,
  +4.5500000000000000E+01,  +1.5749336152961835E+01,  +1.0303661519369818E+00,
  +4.5750000000000000E+01,  +1.5878828201803660E+01,  +1.0388378883184861E+00,
  +4.6000000000000000E+01,  +1.5066749917808629E+01,  +9.8570942827261987E-01,
  +4.6250000000000000E+01,  +1.4229735965396916E+01,  +9.3094960621486089E-01,
  +4.6500000000000000E+01,  +1.4295529145919453E+01,  +9.3525398232191048E-01,
  +4.6750000000000000E+01,  +1.4377199364039548E+01,  +9.4059707917088031E-01,
  +4.7000000000000000E+01,  +1.4837369937302945E+01,  +9.7070274065419770E-01,
  +4.7250000000000000E+01,  +1.5306457094421329E+01,  +1.0013917502930092E+00,
  +4.7500000000000000E+01,  +1.5419034136042015E+01,  +1.0087568590216931E+00,
  +4.7750000000000000E+01,  +1.5508920456986992E+01,  +1.0146374765743529E+00,
  +4.8000000000000000E+01,  +1.5931989867678364E+01,  +1.0423158749819161E+00,
  +4.8250000000000000E+01,  +1.6340317639510005E+01,  +1.0690298336469006E+00,
  +4.8500000000000000E+01,  +1.6371818141889452E+01,  +1.0710906856793647E+00,
  +4.8750000000000000E+01,  +1.6434683440559898E+01,  +1.0752035114678509E+00,
  +4.9000000000000000E+01,  +1.6948351603065824E+01,  +1.1088091366722019E+00,
  +4.9250000000000000E+01,  +1.7495238828597035E+01,  +1.1445880470111063E+00,
  +4.9500000000000000E+01,  +1.7661177392529666E+01,  +1.1554442175770674E+00,
  +4.9750000000000000E+01,  +1.7794156502142521E+01,  +1.1641440873448503E+00,
  +5.0000000000000000E+01,  +1.8292805165370773E+01,  +1.1967670943915563E+00,
  +5.0250000000000000E+01,  +1.8758300992018786E+01,  +1.2272211490252074E+00,
  +5.0500000000000000E+01,  +1.8792421281305476E+01,  +1.2294533949328352E+00,
  +5.0750000000000000E+01,  +1.8863350339263185E+01,  +1.2340937746795495E+00,
  +5.1000000000000000E+01,  +1.9439030500775853E+01,  +1.2717564003929971E+00,
  +5.1250000000000000E+01,  +2.0051089894749900E+01,  +1.3117990584708310E+00,
  +5.1500000000000000E+01,  +2.0229294251488255E+01,  +1.3234576919222716E+00,
  +5.1750000000000000E+01,  +2.0372789402357952E+01,  +1.3328455508762773E+00,
  +5.2000000000000000E+01,  +2.0854428872491397E+01,  +1.3643557683637004E+00,
  +5.2250000000000000E+01,  +6.1454061314476803E+01,  +4.0204986459438006E+00,
  +5.2500000000000000E+01,  +1.0216310723005674E+02,  +6.6837996626773686E+00,
  +5.2750000000000000E+01,  +1.0277580233234470E+02,  +6.7238839105925647E+00,
  +5.3000000000000000E+01,  +1.0126337015607660E+02,  +6.6249363164595909E+00,
  +5.3250000000000000E+01,  +1.0224914854122372E+02,  +6.6894287288064866E+00,
  +5.3500000000000000E+01,  +1.0507922214806290E+02,  +6.8745801551051064E+00,
  +5.3750000000000000E+01,  +1.0532309291927966E+02,  +6.8905348712701597E+00,
  +5.4000000000000000E+01,  +1.0245411057541206E+02,  +6.7028379252582431E+00,
  +5.4250000000000000E+01,  +1.1905965576760742E+02,  +7.7892196961673807E+00,
  +5.4500000000000000E+01,  +1.3836335829971591E+02,  +9.0521225577844593E+00,
  +5.4750000000000000E+01,  +1.3802360825508535E+02,  +9.0298951481523027E+00,
  +5.5000000000000000E+01,  +1.3548172269331036E+02,  +8.8635977995203898E+00,
  +5.5250000000000000E+01,  +1.3290267716171016E+02,  +8.6948693404757584E+00,
  +5.5500000000000000E+01,  +1.3251002025842698E+02,  +8.6691806143899104E+00,
  +5.5750000000000000E+01,  +1.3346574544905752E+02,  +8.7317068616815483E+00,
  +5.6000000000000000E+01,  +1.3222644986573999E+02,  +8.6506286366126623E+00,
  +5.6250000000000000E+01,  +1.2847204458025715E+02,  +8.4050048154405346E+00,
  +5.6500000000000000E+01,  +1.2773923437663896E+02,  +8.3570622975928703E+00,
  +5.6750000000000000E+01,  +1.2930395498777142E+02,  +8.4594307491447687E+00,
  +5.7000000000000000E+01,  +1.3024795941477493E+02,  +8.5211901909025833E+00,
  +5.7250000000000000E+01,  +1.2328704765128234E+02,  +8.0657876394513011E+00,
  +5.7500000000000000E+01,  +1.1295424558390340E+02,  +7.3897864796887980E+00,
  +5.7750000000000000E+01,  +1.0752257050732393E+02,  +7.0344309210245246E+00,
  +5.8000000000000000E+01,  +1.0257163457002881E+02,  +6.7105266776550065E+00,
  +5.8250000000000000E+01,  +9.9547593033822181E+01,  +6.5126853203624426E+00,
  +5.8500000000000000E+01,  +1.0037743605301691E+02,  +6.5669759996707660E+00,
  +5.8750000000000000E+01,  +9.9107003980857286E+01,  +6.4838607373654238E+00,
  +5.9000000000000000E+01,  +9.4769305601543550E+01,  +6.2000762308980670E+00,
  +5.9250000000000000E+01,  +9.5753393036276805E+01,  +6.2644580164824042E+00,
  +5.9500000000000000E+01,  +9.8728909604182007E+01,  +6.4591247329916364E+00,
  +5.9750000000000000E+01,  +9.9193793964586092E+01,  +6.4895387837727645E+00,
  +6.0000000000000000E+01,  +9.7759629539837590E+01,  +6.3957116874925743E+00,
  +6.0250000000000000E+01,  +9.5989849693787548E+01,  +6.2799276803420714E+00,
  +6.0500000000000000E+01,  +9.5693788934452215E+01,  +6.2605585474228711E+00,
  +6.0750000000000000E+01,  +9.6379141081795510E+01,  +6.3053962248920294E+00,
  +6.1000000000000000E+01,  +9.6612771588438449E+01,  +6.3206809939620898E+00,
  +6.1250000000000000E+01,  +9.3786245969797079E+01,  +6.1357616870944724E+00,
  +6.1500000000000000E+01,  +9.1778514226256235E+01,  +6.0044101932523102E+00,
  +6.1750000000000000E+01,  +9.1418707181135147E+01,  +5.9808705978737766E+00,
  +6.2000000000000000E+01,  +9.0666436999197941E+01,  +5.9316549531601552E+00,
  +6.2250000000000000E+01,  +9.0507490496284660E+01,  +5.9212562230181360E+00,
  +6.2500000000000000E+01,  +9.0886701242326467E+01,  +5.9460652634359290E+00,
  +6.2750000000000000E+01,  +9.1108235481088201E+01,  +5.9605586604209373E+00,
  +6.3000000000000000E+01,  +9.0904934194416370E+01,  +5.9472581147727013E+00,
  +6.3250000000000000E+01,  +9.0754718176307506E+01,  +5.9374305576595070E+00,
  +6.3500000000000000E+01,  +9.1735213100921470E+01,  +6.0015773110627126E+00,
  +6.3750000000000000E+01,  +9.2344067517644604E+01,  +6.0414102904566320E+00,
  +6.4000000000000000E+01,  +9.3530567727437528E+01,  +6.1190344927444755E+00,
  +6.4250000000000000E+01,  +9.6203226784135722E+01,  +6.2938874135878571E+00,
  +6.4500000000000000E+01,  +9.9134764361360638E+01,  +6.4856769000377898E+00,
  +6.4750000000000000E+01,  +9.9905555588147990E+01,  +6.5361042439320469E+00,
  +6.5000000000000000E+01,  +9.8918344987206623E+01,  +6.4715181319737942E+00,
  +6.5250000000000000E+01,  +9.9698924236123588E+01,  +6.5225858359822055E+00,
  +6.5500000000000000E+01,  +1.0006800860665891E+02,  +6.5467323802501713E+00,
  +6.5750000000000000E+01,  +9.9077383014701567E+01,  +6.4819228499130199E+00,
  +6.6000000000000000E+01,  +9.9572614046999291E+01,  +6.5143222658701436E+00,
  +6.6250000000000000E+01,  +1.0046246081787132E+02,  +6.5725385604626325E+00,
  +6.6500000000000000E+01,  +1.0109970324564482E+02,  +6.6142287638959045E+00,
  +6.6750000000000000E+01,  +1.0150517359747801E+02,  +6.6407557820562433E+00,
  +6.7000000000000000E+01,  +6.0688662850345295E+01,  +3.9704241118474952E+00,
  +6.7250000000000000E+01,  +1.9880055543785780E+01,  +1.3006095070928958E+00,
  +6.7500000000000000E+01,  +1.9800990653030606E+01,  +1.2954368581349009E+00,
  +6.7750000000000000E+01,  +1.9898184723372928E+01,  +1.3017955693387937E+00,
  +6.8000000000000000E+01,  +2.0402024797460406E+01,  +1.3347582131789615E+00,
  +6.8250000000000000E+01,  +1.8351177360204122E+01,  +1.2005859686086289E+00,
  +6.8500000000000000E+01,  +1.5819565339177121E+01,  +1.0349607440932169E+00,
  +6.8750000000000000E+01,  +1.5865730186801521E+01,  +1.0379809791011900E+00,
  +6.9000000000000000E+01,  +1.6269378327103354E+01,  +1.0643887830251098E+00,
  +6.9250000000000000E+01,  +1.6689788671056782E+01,  +1.0918932177597975E+00,
  +6.9500000000000000E+01,  +1.6808601716377567E+01,  +1.0996663035024667E+00,
