 TIME                                   	Erdreichtemepratur_100m                 	Erdreichtemperatur_3m                   	Flusswassertemperatur                   	Erdreichtemepratur_15m                  	Aussentemp                              	
  +3.7500000000000000E+01	  +1.0000000000000000E+01	  +1.0073031685027347E+01	  +6.0255208333333332E+00	  +9.9823143093305138E+00	  +1.2124999999999999E+00	
  +3.7750000000000000E+01	  +1.0000000000000000E+01	  +1.0072741264781268E+01	  +6.0262648809523807E+00	  +9.9823148291115356E+00	  +1.2124999999999999E+00	
  +3.8000000000000000E+01	  +1.0000000000000000E+01	  +1.0072450842196284E+01	  +6.0270089285714290E+00	  +9.9823153494612047E+00	  +1.0375000000000001E+00	
  +3.8250000000000000E+01	  +1.0000000000000000E+01	  +1.0072160417281735E+01	  +6.0277529761904765E+00	  +9.9823158703794999E+00	  +8.6250000000000004E-01	
  +3.8500000000000000E+01	  +1.0000000000000000E+01	  +1.0071869990046956E+01	  +6.0284970238095239E+00	  +9.9823163918664051E+00	  +6.8750000000000000E-01	
  +3.8750000000000000E+01	  +1.0000000000000000E+01	  +1.0071579560501290E+01	  +6.0292410714285714E+00	  +9.9823169139219061E+00	  +4.6249999999999997E-01	
  +3.9000000000000000E+01	  +1.0000000000000000E+01	  +1.0071289128654072E+01	  +6.0299851190476197E+00	  +9.9823174365459835E+00	  +1.8749999999999994E-01	
  +3.9250000000000000E+01	  +1.0000000000000000E+01	  +1.0070998694514643E+01	  +6.0307291666666671E+00	  +9.9823179597386229E+00	  -8.7500000000000078E-02	
  +3.9500000000000000E+01	  +1.0000000000000000E+01	  +1.0070708258092340E+01	  +6.0314732142857146E+00	  +9.9823184834998049E+00	  -3.6249999999999999E-01	
  +3.9750000000000000E+01	  +1.0000000000000000E+01	  +1.0070417819396500E+01	  +6.0322172619047620E+00	  +9.9823190078295152E+00	  -6.6249999999999998E-01	
